entry_month,PERMNO,weight
2022-12-01,89533,2.7390235092229133e-18
2022-12-01,90505,0.0
2022-12-01,90601,0.1
2022-12-01,90664,1.6805378091224078e-19
2022-12-01,91556,1.158698090008571e-18
2022-12-01,91611,0.018539045021010097
2022-12-01,91907,0.0
2022-12-01,92043,8.567459271609916e-18
2022-12-01,92050,0.0
2022-12-01,92203,2.8617587930160638e-18
2023-01-01,11533,0.030067516596923857
2023-01-01,12060,1.2353742020794898e-17
2023-01-01,12591,0.0
2023-01-01,12622,1.8942192819718204e-18
2023-01-01,12872,0.007890289472980316
2023-01-01,13035,0.0
2023-01-01,13688,0.05061874377411013
2023-01-01,13928,0.05538491706716586
2023-01-01,14277,1.0698042262607525e-17
2023-01-01,17700,0.0
2023-01-01,18542,0.009518420721233184
2023-01-01,19350,0.006693648427428155
2023-01-01,19561,0.0
2023-01-01,21371,0.09999999999999998
2023-01-01,32942,0.09999999999999999
2023-01-01,39490,0.0
2023-01-01,40539,0.05688532021334572
2023-01-01,45356,0.007554288460458708
2023-01-01,46674,0.09999999999999999
2023-01-01,75186,1.0107838459617677e-17
2023-01-01,76712,8.053368837789914e-18
2023-01-01,76841,0.034943603000489674
2023-01-01,77274,0.1
2023-01-01,77661,1.002839422172426e-17
2023-01-01,79094,3.499230296203681e-18
2023-01-01,79103,0.09999999999999996
2023-01-01,79145,4.064246745624993e-18
2023-01-01,79637,4.448139750760096e-18
2023-01-01,79686,0.0
2023-01-01,79698,2.4357031691809634e-18
2023-01-01,82276,0.1
2023-01-01,82694,0.0
2023-01-01,84262,1.2907926626927989e-18
2023-01-01,85059,5.0930782710175746e-18
2023-01-01,85663,0.0
2023-01-01,88352,6.40403531628598e-18
2023-01-01,89031,0.00944594516732145
2023-01-01,89393,0.009837745756259687
2023-01-01,89533,1.4822247257401717e-18
2023-01-01,90505,0.0
2023-01-01,90562,0.042511809143346145
2023-01-01,90664,3.555914256474794e-18
2023-01-01,90880,5.123203418226328e-19
2023-01-01,91556,5.443915537187381e-18
2023-01-01,91611,0.02689591974729688
2023-01-01,91907,0.0
2023-01-01,92043,0.05175183245164036
2023-01-01,92050,1.6119319678545308e-18
2023-02-01,11533,0.019574291539156553
2023-02-01,12060,2.329936174990364e-19
2023-02-01,12872,2.0379612710938466e-18
2023-02-01,13688,0.024567410666328462
2023-02-01,13928,0.04397691922784463
2023-02-01,14277,3.5321273900504324e-18
2023-02-01,15486,0.00957927227406871
2023-02-01,17700,0.0
2023-02-01,18542,1.1856767195665696e-17
2023-02-01,18576,0.0
2023-02-01,19561,0.0
2023-02-01,20057,0.023325482869633925
2023-02-01,21371,0.1
2023-02-01,23819,0.0
2023-02-01,28222,0.1
2023-02-01,40539,0.06206778601193124
2023-02-01,45356,4.526544070126981e-18
2023-02-01,54148,0.0
2023-02-01,57904,0.1
2023-02-01,72726,0.0
2023-02-01,76614,0.1
2023-02-01,76841,0.01332753021279487
2023-02-01,77274,0.1
2023-02-01,77702,0.05072168397661023
2023-02-01,79094,0.0
2023-02-01,79145,1.6229151269392394e-18
2023-02-01,79637,4.083545838712982e-18
2023-02-01,79686,0.0
2023-02-01,81774,0.0
2023-02-01,82276,0.1
2023-02-01,82303,0.0628585660578388
2023-02-01,84262,4.912791094074942e-19
2023-02-01,85269,0.02022210565903308
2023-02-01,85663,0.0
2023-02-01,88661,0.0
2023-02-01,89031,0.0
2023-02-01,89195,0.0
2023-02-01,89393,0.0
2023-02-01,89533,0.0
2023-02-01,89731,4.912791094074942e-19
2023-02-01,90505,0.0
2023-02-01,90664,1.0791199748019786e-18
2023-02-01,90880,0.0
2023-02-01,91103,0.0
2023-02-01,91556,1.765216662077962e-18
2023-02-01,91611,0.022373042377726585
2023-02-01,91907,0.0
2023-02-01,92043,0.031186873032907608
2023-02-01,92322,0.016219036094125304
2023-03-01,11533,0.013729022925027385
2023-03-01,11762,0.04643053647916401
2023-03-01,11891,0.0
2023-03-01,12060,1.948758113836128e-18
2023-03-01,12591,0.0
2023-03-01,14277,0.031591467262600946
2023-03-01,16431,0.1
2023-03-01,16851,5.3317547656106e-18
2023-03-01,18542,0.013376834560186558
2023-03-01,30681,0.05324585218207081
2023-03-01,41355,0.0
2023-03-01,47896,0.07095316360941796
2023-03-01,54148,0.0
2023-03-01,60506,0.1
2023-03-01,72726,0.0
2023-03-01,73139,0.04755154856287248
2023-03-01,75650,1.6528789174483603e-18
2023-03-01,76614,0.1
2023-03-01,76709,0.038672630668669494
2023-03-01,76841,0.022954401503566774
2023-03-01,77274,0.1
2023-03-01,77661,0.0
2023-03-01,79094,0.0
2023-03-01,79145,1.4538261748435997e-18
2023-03-01,79637,5.897466895258066e-20
2023-03-01,79686,0.0
2023-03-01,81774,8.889610781433882e-19
2023-03-01,82276,0.1
2023-03-01,82303,0.0996047638536389
2023-03-01,82694,3.3588032732185212e-18
2023-03-01,84262,0.0
2023-03-01,85059,0.0
2023-03-01,85072,0.0
2023-03-01,85663,0.0
2023-03-01,86580,1.8529904512371888e-18
2023-03-01,86783,1.1443415117405598e-18
2023-03-01,88661,0.0
2023-03-01,89031,9.633940983833598e-19
2023-03-01,89393,2.4594131019120644e-18
2023-03-01,89533,0.0
2023-03-01,89731,0.0
2023-03-01,90505,0.0
2023-03-01,90664,0.0
2023-03-01,90720,1.857172676414257e-18
2023-03-01,90880,0.0
2023-03-01,91103,4.731737801599335e-19
2023-03-01,91556,0.0
2023-03-01,91611,0.03244848081373214
2023-03-01,91907,0.0
2023-03-01,92043,0.029441297579052447
2023-04-01,10104,0.1
2023-04-01,11533,0.015443084590469619
2023-04-01,11891,7.580944877925988e-19
2023-04-01,12060,0.04588144890915209
2023-04-01,12622,0.05124256221603909
2023-04-01,13103,2.2090619264392153e-18
2023-04-01,13407,2.0709955560367643e-18
2023-04-01,14702,2.678741695691725e-18
2023-04-01,14714,1.4484263398048536e-19
2023-04-01,16851,0.07891478002449344
2023-04-01,19561,6.738147095407959e-19
2023-04-01,30681,0.1
2023-04-01,34817,3.708310243079327e-18
2023-04-01,48486,1.6195269951502222e-18
2023-04-01,51369,7.729175643695491e-19
