entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-05-01,2024-04-01,61241,AMD,0.6079174523351534,10.0
2024-05-01,2024-04-01,91152,TDG,0.5622004001336054,10.0
2024-05-01,2024-04-01,34746,FITB,0.5680128768984245,10.0
2024-05-01,2024-04-01,20189,DASH,0.7246157777780533,10.0
2024-05-01,2024-04-01,18267,DELL,0.8785015110738981,10.0
2024-05-01,2024-04-01,18576,UBER,0.5311914831612536,10.0
2024-05-01,2024-04-01,93246,GNRC,0.6172232615003967,10.0
2024-05-01,2024-04-01,66384,WDC,0.764133756432378,10.0
2024-05-01,2024-04-01,15315,GDDY,0.6711726322363203,10.0
2024-05-01,2024-04-01,18726,CRWD,0.6549178813138556,10.0
2024-05-01,2024-04-01,20892,COIN,1.6443244504587207,10.0
2024-05-01,2024-04-01,16736,VST,1.3388069661622395,10.0
2024-05-01,2024-04-01,12369,GM,0.5882108909170369,10.0
2024-05-01,2024-04-01,88860,ALGN,0.5297694863750779,10.0
2024-05-01,2024-04-01,59176,AXP,0.6128779148414203,10.0
2024-05-01,2024-04-01,12431,TT,0.6780200414587563,10.0
2024-05-01,2024-04-01,82694,EME,0.7310478110623073,10.0
2024-05-01,2024-04-01,53613,MU,0.6931722022335163,10.0
2024-05-01,2024-04-01,89031,AXON,0.5338648643402437,10.0
2024-05-01,2024-04-01,14776,SYF,0.5779787199496971,10.0
2024-05-01,2024-04-01,85792,PWR,0.5483287057871422,10.0
2024-05-01,2024-04-01,90071,NRG,0.7375871535566461,10.0
2024-05-01,2024-04-01,86580,NVDA,1.1190165949051467,10.0
2024-05-01,2024-04-01,91068,CMG,0.6268161472677309,10.0
2024-05-01,2024-04-01,20894,APP,0.9366087499894045,10.0
2024-05-01,2024-04-01,22623,CEG,0.6537094452271077,10.0
2024-05-01,2024-04-01,16692,IR,0.5386810293138622,10.0
2024-05-01,2024-04-01,90720,BLDR,0.6846647207428094,10.0
2024-05-01,2024-04-01,15826,SQ,0.813663966878198,10.0
2024-05-01,2024-04-01,16655,CVNA,2.0711111305753245,10.0
2024-05-01,2024-04-01,79145,RCL,0.6479414048120555,10.0
2024-05-01,2024-04-01,91907,SMCI,2.586253585534583,10.0
2024-05-01,2024-04-01,85663,URI,0.6539518927053061,10.0
2024-05-01,2024-04-01,90248,DPZ,0.5713338187642465,10.0
2024-05-01,2024-04-01,81677,WAB,0.5237801921609972,10.0
2024-05-01,2024-04-01,11990,KKR,0.687048919783162,10.0
2024-05-01,2024-04-01,91926,DAL,0.6060812887463227,10.0
2024-05-01,2024-04-01,93002,AVGO,0.5589261833741084,10.0
2024-06-01,2024-05-01,15315,GDDY,0.39546180377388324,10.0
2024-06-01,2024-05-01,77178,QCOM,0.5958815470351198,10.0
2024-06-01,2024-05-01,91907,SMCI,1.868726514800172,10.0
2024-06-01,2024-05-01,91926,DAL,0.3874576592167326,10.0
2024-06-01,2024-05-01,84769,APH,0.4609482917757094,10.0
2024-06-01,2024-05-01,14702,AMAT,0.44102564127690924,10.0
2024-06-01,2024-05-01,24205,NEE,0.38040063903307736,10.0
2024-06-01,2024-05-01,82694,EME,0.8316361838851734,10.0
2024-06-01,2024-05-01,20894,APP,1.1739597774712371,10.0
2024-06-01,2024-05-01,16655,CVNA,2.192208219465424,10.0
2024-06-01,2024-05-01,87356,TKO,0.4104485527713346,10.0
2024-06-01,2024-05-01,20892,COIN,0.8114199677694651,10.0
2024-06-01,2024-05-01,59176,AXP,0.4143991668062161,10.0
2024-06-01,2024-05-01,90071,NRG,0.7157201978276146,10.0
